"Tabela 5457 - Área plantada ou destinada à colheita, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias e permanentes"
"Variável - Área plantada ou destinada à colheita (Hectares)"
"Brasil, Município e Microrregião Geográfica";"Ano x Produto das lavouras temporárias e permanentes"
"Brasil, Município e Microrregião Geográfica";"2010";;;;;"2011";;;;;"2012";;;;;"2013";;;;;"2014";;;;;"2015";;;;;"2016";;;;;"2017";;;;;"2018";;;;;"2019";;;;;"2020"
"Brasil, Município e Microrregião Geográfica";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão";"Total";"Abacaxi*";"Cana-de-açúcar";"Melancia";"Melão"
"Brasil";"65374591";"60016";"9164756";"96477";"18870";"68158023";"62868";"9616615";"98501";"19701";"69221503";"66576";"9777659";"96601";"22810";"72434134";"64421";"10223043";"93190";"22062";"76230864";"66723";"10454280";"94937";"22001";"76948099";"68322";"10179827";"97910";"20837";"77337268";"67259";"10242703";"94424";"23166";"78990210";"67286";"10233258";"103631";"23426";"78586195";"71966";"10045644";"102417";"23342";"81209857";"67052";"10120673";"100574";"22364";"83396004";"65049";"10026114";"99212";"24137"
"Acari (RN)";"241";"-";"-";"8";"3";"333";"-";"-";"8";"3";"216";"-";"-";"-";"-";"175";"-";"-";"-";"-";"549";"-";"-";"10";"10";"189";"-";"-";"10";"10";"328";"-";"-";"2";"2";"375";"-";"-";"3";"20";"318";"-";"-";"5";"20";"454";"-";"-";"15";"5";"198";"-";"-";"5";"-"
"Açu (RN)";"1139";"-";"-";"45";"40";"2451";"-";"-";"80";"42";"934";"-";"-";"60";"10";"1291";"-";"-";"80";"25";"1763";"-";"-";"90";"20";"1686";"-";"-";"120";"40";"1777";"-";"-";"180";"60";"1301";"-";"-";"120";"60";"1706";"-";"-";"170";"80";"2452";"-";"-";"140";"100";"2813";"-";"2";"170";"100"
"Afonso Bezerra (RN)";"380";"-";"-";"10";"10";"832";"-";"-";"70";"30";"288";"-";"-";"15";"8";"672";"-";"-";"10";"5";"987";"-";"-";"-";"40";"974";"-";"-";"40";"78";"804";"-";"-";"90";"207";"711";"-";"-";"100";"200";"1854";"-";"-";"200";"300";"1297";"-";"-";"200";"120";"1498";"-";"-";"100";"300"
"Água Nova (RN)";"395";"-";"-";"-";"-";"562";"-";"4";"-";"-";"472";"-";"4";"-";"-";"441";"-";"-";"-";"-";"469";"-";"2";"-";"-";"399";"-";"-";"-";"-";"488";"-";"-";"-";"-";"416";"-";"-";"-";"-";"356";"-";"-";"-";"-";"348";"-";"-";"-";"-";"377";"-";"-";"-";"-"
"Alexandria (RN)";"557";"-";"0";"0";"-";"609";"-";"13";"-";"-";"601";"-";"3";"-";"-";"535";"-";"-";"-";"-";"1110";"-";"4";"-";"-";"615";"-";"-";"-";"-";"512";"-";"-";"-";"-";"92";"-";"-";"-";"-";"466";"-";"1";"-";"-";"511";"-";"2";"-";"-";"526";"-";"3";"-";"-"
"Almino Afonso (RN)";"267";"-";"3";"3";"-";"851";"-";"35";"3";"-";"588";"-";"10";"-";"-";"566";"-";"6";"-";"-";"625";"-";"15";"-";"-";"209";"-";"30";"-";"-";"187";"-";"-";"-";"-";"189";"-";"-";"-";"-";"377";"-";"-";"-";"-";"297";"-";"10";"-";"-";"325";"-";"12";"-";"-"
"Alto do Rodrigues (RN)";"1078";"-";"-";"-";"-";"1583";"-";"-";"3";"-";"1032";"-";"-";"-";"30";"1125";"-";"-";"-";"30";"1760";"-";"-";"-";"-";"1824";"-";"-";"40";"-";"2696";"-";"-";"30";"-";"1416";"-";"-";"30";"-";"2079";"-";"-";"50";"-";"1673";"-";"-";"40";"-";"1678";"-";"-";"30";"-"
"Angicos (RN)";"470";"-";"-";"-";"-";"830";"-";"-";"-";"-";"193";"-";"-";"-";"-";"240";"-";"-";"-";"-";"770";"-";"-";"-";"-";"360";"-";"-";"-";"-";"600";"-";"-";"-";"-";"630";"-";"-";"-";"-";"690";"-";"-";"-";"-";"750";"-";"-";"-";"-";"500";"-";"-";"-";"-"
"Antônio Martins (RN)";"501";"-";"20";"-";"-";"1002";"-";"20";"-";"-";"987";"-";"10";"-";"-";"888";"-";"-";"-";"-";"803";"-";"20";"-";"-";"649";"-";"22";"-";"-";"418";"-";"-";"-";"-";"702";"-";"-";"-";"-";"806";"-";"-";"-";"-";"825";"-";"20";"-";"-";"787";"-";"-";"-";"-"
